# Accelerometer Data File
# Started @Sat Jul 23 22:55:24 PDT 2016
#
#
# sensor Vendor: InvenSense
# sensor Name: MPU6515 Accelerometer
# sensor Resolution: 5.950928E-4m/sec^2; Max Range: 19.613297; Min Delay: 5000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: MEDIUM
-6.723 4.16 5.801 0
-6.725 4.143 5.834 5
-6.725 4.141 5.823 5
-6.743 4.13 5.835 5
-6.746 4.072 5.872 5
-6.762 4.095 5.907 5
-6.74 4.086 5.861 5
-6.65 4.066 5.854 5
-6.681 4.068 5.873 5
-6.702 4.07 5.773 5
-6.691 4.108 5.804 5
-6.733 4.129 5.775 5
-6.698 4.04 5.839 5
-6.687 4.047 5.866 5
-6.721 4.07 5.9 5
-6.73 4.037 5.917 5
-6.726 4.036 5.965 5
-6.728 4.058 5.918 5
-6.709 4.086 5.892 5
-6.7 4.061 5.916 5
-6.662 4.072 5.892 5
-6.632 4.061 5.869 5
-6.591 4.075 5.915 5
-6.606 4.062 5.94 5
-6.567 4.043 5.98 5
-6.584 4.012 5.962 5
-6.601 4.022 6.07 5
-6.613 4.004 6.071 5
-6.594 3.992 6.114 5
-6.6 3.98 6.132 6
-6.604 3.984 6.144 5
-6.595 3.989 6.206 5
-6.558 4.014 6.251 5
-6.557 4.064 6.266 5
-6.535 4.067 6.256 5
-6.487 4.069 6.269 5
-6.453 4.076 6.258 5
-6.445 4.065 6.224 5
-6.455 4.049 6.289 5
-6.457 4.041 6.367 5
-6.418 4.007 6.416 5
-6.375 4.004 6.522 5
-6.332 4.023 6.554 5
-6.326 3.981 6.566 5
-6.326 3.975 6.473 5
-6.353 3.984 6.439 5
-6.401 3.963 6.416 5
-6.436 3.934 6.36 5
-6.406 3.911 6.295 5
-6.345 3.808 6.154 5
-6.38 3.914 6.118 5
-6.491 4.085 6.407 5
-6.511 3.931 6.556 5
-6.423 3.819 6.387 5
-6.413 3.846 6.248 5
-6.51 3.872 6.215 5
-6.625 3.858 6.232 5
-6.611 3.857 6.328 6
-6.53 3.898 6.393 5
-6.47 3.896 6.337 5
-6.425 3.829 6.298 5
-6.328 3.8 6.202 5
-6.384 3.946 6.296 5
-6.423 3.98 6.544 5
-6.391 3.923 6.633 5
-6.301 3.957 6.54 5
-6.265 4.003 6.472 5
-6.267 3.973 6.483 5
-6.312 3.969 6.496 5
-6.331 3.945 6.482 5
-6.338 3.912 6.434 5
-6.35 3.899 6.48 5
-6.37 3.884 6.465 5
-6.378 3.843 6.381 5
-6.367 3.791 6.292 5
-6.379 3.886 6.349 5
-6.412 3.952 6.543 5
-6.357 3.861 6.602 5
-6.267 3.811 6.514 5
-6.264 3.832 6.306 5
-6.306 3.867 6.313 5
-6.365 3.866 6.372 5
-6.362 3.884 6.426 5
-6.326 3.877 6.404 5
-6.303 3.829 6.437 5
-6.315 3.81 6.362 6
-6.327 3.778 6.363 5
-6.345 3.756 6.419 5
-6.364 3.784 6.516 5
-6.346 3.856 6.539 5
-6.311 3.823 6.433 5
-6.276 3.858 6.566 5
-6.242 3.876 6.431 5
-6.22 3.899 6.451 5
-6.262 3.902 6.422 5
-6.31 3.933 6.402 5
-6.324 3.906 6.36 5
-6.346 3.869 6.429 5
-6.328 3.879 6.461 5
-6.278 3.905 6.456 5
-6.257 3.903 6.434 5
-6.224 3.917 6.438 5
-6.231 3.917 6.508 5
-6.251 3.915 6.492 5
-6.277 3.877 6.536 5
-6.312 3.848 6.509 5
-6.338 3.824 6.491 5
-6.341 3.854 6.499 5
-6.333 3.868 6.541 5
-6.309 3.86 6.562 5
