RecordedDate	startTime	endTime	Calories	Distance	Height	lowLatitude	lowLongitude	highLatitude	highLongitude	avgSpeed	maxSpeed	minSpeed	stepCount	avgWeight	maxWeight	minWeight	bikingDuration	inactiveDuration	walkingDuration
11-21-2014	00:00:00.000+05:30	00:15:00.000+05:30																	
11-21-2014	00:15:00.000+05:30	00:30:00.000+05:30																	
11-21-2014	00:30:00.000+05:30	00:45:00.000+05:30																	
11-21-2014	00:45:00.000+05:30	01:00:00.000+05:30																	
11-21-2014	01:00:00.000+05:30	01:15:00.000+05:30																	
11-21-2014	01:15:00.000+05:30	01:30:00.000+05:30																	
11-21-2014	01:30:00.000+05:30	01:45:00.000+05:30																	
11-21-2014	01:45:00.000+05:30	02:00:00.000+05:30																	
11-21-2014	02:00:00.000+05:30	02:15:00.000+05:30																	
11-21-2014	02:15:00.000+05:30	02:30:00.000+05:30																	
11-21-2014	02:30:00.000+05:30	02:45:00.000+05:30																	
11-21-2014	02:45:00.000+05:30	03:00:00.000+05:30																	
11-21-2014	03:00:00.000+05:30	03:15:00.000+05:30																	
11-21-2014	03:15:00.000+05:30	03:30:00.000+05:30																	
11-21-2014	03:30:00.000+05:30	03:45:00.000+05:30																	
11-21-2014	03:45:00.000+05:30	04:00:00.000+05:30																	
11-21-2014	04:00:00.000+05:30	04:15:00.000+05:30																	
11-21-2014	04:15:00.000+05:30	04:30:00.000+05:30																	
11-21-2014	04:30:00.000+05:30	04:45:00.000+05:30																	
11-21-2014	04:45:00.000+05:30	05:00:00.000+05:30																	
11-21-2014	05:00:00.000+05:30	05:15:00.000+05:30																	
11-21-2014	05:15:00.000+05:30	05:30:00.000+05:30																	
11-21-2014	05:30:00.000+05:30	05:45:00.000+05:30																	
11-21-2014	05:45:00.000+05:30	06:00:00.000+05:30																	
11-21-2014	06:00:00.000+05:30	06:15:00.000+05:30																	
11-21-2014	06:15:00.000+05:30	06:30:00.000+05:30																	
11-21-2014	06:30:00.000+05:30	06:45:00.000+05:30																	
11-21-2014	06:45:00.000+05:30	07:00:00.000+05:30																	
11-21-2014	07:00:00.000+05:30	07:15:00.000+05:30																	
11-21-2014	07:15:00.000+05:30	07:30:00.000+05:30																	
11-21-2014	07:30:00.000+05:30	07:45:00.000+05:30																	
11-21-2014	07:45:00.000+05:30	08:00:00.000+05:30																	
11-21-2014	08:00:00.000+05:30	08:15:00.000+05:30																	
11-21-2014	08:15:00.000+05:30	08:30:00.000+05:30																	
11-21-2014	08:30:00.000+05:30	08:45:00.000+05:30																	
11-21-2014	08:45:00.000+05:30	09:00:00.000+05:30																	
11-21-2014	09:00:00.000+05:30	09:15:00.000+05:30																	
11-21-2014	09:15:00.000+05:30	09:30:00.000+05:30																	
