ActivityType,StartTime,Duration,Points,Steps,Calories
Walking,2016-07-06T09:00:03-07:00,960,157.6,1494,82.0602
Walking,2016-07-06T12:40:45-07:00,360,53.2,526,27.7005
Walking,2016-07-06T12:51:45-07:00,420,56.8,548,29.575
Walking,2016-07-06T18:16:08-07:00,1560,191.2,1842,99.5552
Walking,2016-07-06T19:01:08-07:00,1200,187.6,1812,97.6807
Walking,2016-07-07T07:28:43-07:00,180,169.6,582,88.3084
Walking,2016-07-07T09:00:16-07:00,720,85.2,844,44.3625
Walking,2016-07-08T08:48:50-07:00,900,143.6,1412,74.7705
Walking,2016-07-08T17:42:05-07:00,1440,193.2,1892,100.5966
Walking,2016-07-08T18:33:05-07:00,840,130.8,1292,68.1058
Walking,2016-07-09T19:28:36-07:00,600,191.6,1208,99.7635
Walking,2016-07-09T19:38:36-07:00,2760,512,3224,266.5913
Walking,2016-07-10T19:07:44-07:00,1920,688,3582,358.2321
Walking,2016-07-10T19:43:36-07:00,780,58,578,30.1998
Walking,2016-07-11T08:55:23-07:00,900,180.4,1668,93.9318
Walking,2016-07-11T12:45:48-07:00,540,56,558,29.1584
Walking,2016-07-11T18:11:58-07:00,1080,172,1616,89.558
Walking,2016-07-11T19:03:31-07:00,900,135.6,1338,70.6051
Walking,2016-07-12T08:00:58-07:00,360,61.2,592,31.866
Walking,2016-07-12T08:57:58-07:00,1020,168.8,1574,87.8918
Walking,2016-07-13T08:40:26-07:00,1080,144.4,1394,75.1871
Walking,2016-07-13T18:00:49-07:00,1140,176.4,1724,91.8491
Walking,2016-07-13T19:05:27-07:00,660,50.4,506,26.2426
Walking,2016-07-13T20:23:27-07:00,420,65.2,636,33.9487
Walking,2016-07-13T23:40:02-07:00,600,64,640,33.3239
Walking,2016-07-14T08:39:25-07:00,900,155.2,1526,80.8105
Walking,2016-07-14T18:14:39-07:00,1200,206.4,1986,107.4696
Walking,2016-07-14T19:10:39-07:00,840,132.4,1278,68.9389
Walking,2016-07-15T08:43:45-07:00,960,187.2,1730,97.4725
Walking,2016-07-16T20:09:21-07:00,960,137.2,1354,71.4381
Walking,2016-07-17T01:33:30-07:00,2340,319.6,3136,166.4113
Walking,2016-07-17T12:53:04-07:00,1680,180.4,1802,93.9318
Walking,2016-07-18T08:52:48-07:00,900,148.8,1454,77.4781
Walking,2016-07-18T18:10:39-07:00,1200,168.4,1660,87.6836
